"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ATRNL1",6.69430865256657e-36,1.15107244412519,0.988,0.763,8.07936111278259e-32,"0","ATRNL1"
"NSG1",1.58376954148523e-25,1.05358391706995,0.607,0.207,1.91145145961852e-21,"0","NSG1"
"SYT4",3.42300801784775e-25,1.00643627013022,0.675,0.28,4.13122837674045e-21,"0","SYT4"
"STMN2",1.02328663403525e-22,0.935574683795241,0.969,0.748,1.23500463861714e-18,"0","STMN2"
"KMT2C",1.39580779904958e-22,0.736645338296535,0.975,0.798,1.68460043267294e-18,"0","KMT2C"
"TMSB10",6.32230784434345e-22,0.815720463881465,0.982,0.813,7.63039333733811e-18,"0","TMSB10"
"LZIC",7.18323872048602e-21,0.905800655370699,0.791,0.513,8.66945081175457e-17,"0","LZIC"
"ELAVL2",4.49411697774019e-19,0.744038051149526,0.472,0.143,5.42394978043464e-15,"0","ELAVL2"
"SOGA3",9.47482860563056e-19,0.815767134822333,0.877,0.672,1.14351706441355e-14,"0","SOGA3"
"RANBP17",1.19507783982456e-18,0.746740149721645,0.546,0.2,1.44233944488426e-14,"0","RANBP17"
"RTN4",1.10594034002553e-17,0.614742601915721,0.988,0.813,1.33475939637681e-13,"0","RTN4"
"FSTL4",2.66668355810206e-17,0.634265420463232,0.436,0.13,3.21842038627338e-13,"0","FSTL4"
"ACAP3",8.19873467964263e-17,0.673227047600259,0.896,0.757,9.89505288486069e-13,"0","ACAP3"
"HSP90AA1",1.58365789884726e-16,0.639218121651771,0.865,0.685,1.91131671811876e-12,"0","HSP90AA1"
"AKAP6",1.92257166429562e-16,0.568579057322779,0.368,0.096,2.32035174163839e-12,"0","AKAP6"
"GADD45G",4.8002964546951e-16,0.753828579287453,0.54,0.23,5.79347779117152e-12,"0","GADD45G"
"SLC18A2",6.31286968185173e-16,0.762070054067212,0.503,0.196,7.61900241902686e-12,"0","SLC18A2"
"WSB1",1.69481947939039e-15,0.563349977556867,1,0.937,2.04547762967626e-11,"0","WSB1"
"DACH1",1.79323238947364e-15,0.761202780885042,0.951,0.796,2.16425217085574e-11,"0","DACH1"
"SPTAN1",2.47540980915507e-15,0.56583716451977,0.926,0.804,2.98757209866926e-11,"0","SPTAN1"
"RGMB",5.6433386532056e-15,0.737769996217092,0.62,0.337,6.81094542055384e-11,"0","RGMB"
"HES4",8.51736896896189e-14,0.759796302547091,0.479,0.213,1.02796126086401e-09,"0","HES4"
"SLCO5A1",1.23574970987888e-13,0.676396109135538,0.571,0.278,1.49142632485282e-09,"0","SLCO5A1"
"ELAVL4",3.34658562796396e-13,0.560187276854931,0.331,0.096,4.0389941943897e-09,"0","ELAVL4"
"MYO16",5.57730367089272e-13,0.655378407616431,0.607,0.337,6.73124780040042e-09,"0","MYO16"
"PFKFB3",6.40443906601254e-13,0.522110045842592,0.951,0.728,7.72951750877053e-09,"0","PFKFB3"
"CNTN2",7.78828306455821e-13,0.685206986126408,0.436,0.176,9.3996788306153e-09,"0","CNTN2"
"EPHA6",1.03501586879e-12,0.392128355522705,0.233,0.046,1.24916065204265e-08,"0","EPHA6"
"CTNNA2",1.42168711716468e-12,0.617475762499381,0.356,0.12,1.71583418170606e-08,"0","CTNNA2"
"UFM1",2.0189919159337e-12,0.607143267638289,0.847,0.717,2.43672134334038e-08,"0","UFM1"
"ONECUT2",2.15667428459934e-12,0.378367195911067,0.252,0.057,2.60289019408294e-08,"0","ONECUT2"
"PCCA",2.3191772074035e-12,0.627018282664639,0.785,0.646,2.79901497161528e-08,"0","PCCA"
"SLC4A7",2.44606766245923e-12,0.560598635439691,0.491,0.22,2.95215906182204e-08,"0","SLC4A7"
"PAX6",2.73516298121907e-12,0.488831868670102,1,0.857,3.30106820203329e-08,"0","PAX6"
"SERINC1",9.54817039934208e-12,0.531393781456544,0.834,0.693,1.1523686854966e-07,"0","SERINC1"
"CALM2",9.98342684288559e-12,0.652179654571112,0.975,0.909,1.20489978566786e-07,"0","CALM2"
"ARF1",1.00855145705695e-11,0.591120928762717,0.411,0.17,1.21722075352203e-07,"0","ARF1"
"CRABP1",3.1874094407081e-11,0.719422581692625,1,0.88,3.8468844539906e-07,"0","CRABP1"
"CLASP2",4.44370564369944e-11,0.545671497194244,0.54,0.289,5.36310834138086e-07,"0","CLASP2"
"SIX3",7.21097352322791e-11,0.482015311344111,0.926,0.809,8.70292394518376e-07,"0","SIX3"
"KIAA0895L",1.06180057573754e-10,0.475545410803602,0.362,0.141,1.28148711485763e-06,"0","KIAA0895L"
"N4BP2",1.06985772249238e-10,0.454941721018671,0.387,0.159,1.29121128527605e-06,"0","N4BP2"
"CD24",1.16770671070476e-10,0.609638658868527,0.656,0.435,1.40930522914957e-06,"0","CD24"
"AGTPBP1",3.47897547917282e-10,0.525520889694722,0.822,0.67,4.19877550581368e-06,"0","AGTPBP1"
"EBF3",3.90517797196179e-10,0.443412472120364,0.344,0.122,4.71315929436068e-06,"0","EBF3"
"PRELID2",4.3907707181645e-10,0.434256167897733,0.969,0.885,5.29922117975274e-06,"0","PRELID2"
"SLC25A16",4.52469187390881e-10,0.535031913641015,0.571,0.341,5.46085062262054e-06,"0","SLC25A16"
"GRIA2",5.8706782777912e-10,0.379093132402409,0.344,0.126,7.0853216134662e-06,"0","GRIA2"
"DYNC1I2",7.97393000977194e-10,0.479121737577567,0.89,0.783,9.62373612879376e-06,"0","DYNC1I2"
"EBF1",8.21791194728066e-10,0.520297411174087,0.387,0.163,9.91819792917303e-06,"0","EBF1"
"FNDC5",1.02981252152887e-09,0.544696373777,0.411,0.191,1.24288073223319e-05,"0","FNDC5"
"ISL1",1.4407245249159e-09,0.506284670831804,0.38,0.167,1.738810429121e-05,"0","ISL1"
"HMGCR",1.85048800920433e-09,0.542711482573792,0.436,0.228,2.2333539783087e-05,"0","HMGCR"
"KLF7",2.04748932844708e-09,0.487572725258637,0.442,0.213,2.47111487050278e-05,"0","KLF7"
"SHOC2",2.35196154279637e-09,0.377118649713808,0.393,0.167,2.83858238600094e-05,"0","SHOC2"
"ZC2HC1A",2.80971965139333e-09,0.469281160291191,0.472,0.246,3.39105064726661e-05,"0","ZC2HC1A"
"KIF1B",4.04963200896427e-09,0.414299736521325,0.896,0.828,4.88750087161898e-05,"0","KIF1B"
"MBOAT2",4.13186208262254e-09,0.381489826117865,0.89,0.776,4.98674434751714e-05,"0","MBOAT2"
"VRK1",6.2056464374387e-09,0.455321094744192,0.46,0.228,7.48959468534477e-05,"0","VRK1"
"ATF2",6.26992893479104e-09,0.472980670757256,0.552,0.33,7.56717723139931e-05,"0","ATF2"
"TBX2",6.7759322180357e-09,0.561856924935182,0.466,0.257,8.17787259394729e-05,"0","TBX2"
"TEX9",9.56895411355945e-09,0.467570183998514,0.454,0.239,0.000115487707196549,"0","TEX9"
"GPC2",9.67150952560968e-09,0.410186412768774,0.902,0.789,0.000116725448464583,"0","GPC2"
"SLC38A2",1.39186848910579e-08,0.401091449964408,0.454,0.23,0.000167984607950178,"0","SLC38A2"
"EPHA5",1.40315294702172e-08,0.39440017908362,0.38,0.172,0.000169346529176052,"0","EPHA5"
"ACVR2A",1.56494931942479e-08,0.342273539878653,0.38,0.17,0.000188873733361377,"0","ACVR2A"
"TUBB2B",1.56780976029695e-08,0.412530643668269,0.988,0.804,0.000189218959970239,"0","TUBB2B"
"ANKRD12",1.8577971892654e-08,0.326836895270985,0.325,0.133,0.000224217542772441,"0","ANKRD12"
"KIAA0232",2.84630936092259e-08,0.387985550795966,0.307,0.126,0.000343521076769747,"0","KIAA0232"
"WDFY2",3.84772550483011e-08,0.373965982350677,0.282,0.109,0.000464381991177945,"0","WDFY2"
"STXBP5",4.04909081456743e-08,0.351711563910015,0.362,0.161,0.000488684770410143,"0","STXBP5"
"TRIM13",4.10946991964947e-08,0.357599149041672,0.276,0.104,0.000495971924602495,"0","TRIM13"
"CEP85L",5.31112869186268e-08,0.478441713506509,0.448,0.239,0.000641000121820907,"0","CEP85L"
"NRXN1",5.70725985243053e-08,0.478011805546973,0.491,0.276,0.000688809191589841,"0","NRXN1"
"LDB3",5.77338371222526e-08,0.36274454874161,0.196,0.057,0.000696789680228467,"0","LDB3"
"HFM1",6.04113616990789e-08,0.295942887325202,0.276,0.1,0.000729104724346183,"0","HFM1"
"MYL6",6.56136345087798e-08,0.407710708896169,0.337,0.152,0.000791890954886463,"0","MYL6"
"TUBB2A",8.04474287288497e-08,0.560892234133013,0.81,0.722,0.000970920017328486,"0","TUBB2A"
"ZEB2",8.4562070268356e-08,0.557988695963744,0.497,0.311,0.00102057962606879,"0","ZEB2"
"MARCH6",8.82062812149372e-08,0.50553210634103,0.479,0.293,0.00106456160798308,"0","MARCH6"
"GDAP1",9.46570192548e-08,0.370754011801192,0.319,0.137,0.00114241556538618,"0","GDAP1"
"CACNA2D1",1.01062704811295e-07,0.431317543811913,0.497,0.287,0.00121972578436752,"0","CACNA2D1"
"CRMP1",1.09186289066183e-07,0.492260504478357,0.724,0.585,0.00131776932273976,"0","CRMP1"
"N4BP2L2",1.14536583634933e-07,0.355433449343195,1,0.983,0.00138234202789,"0","N4BP2L2"
"GAP43",1.17580822155768e-07,0.674714801657323,0.742,0.657,0.00141908294259796,"0","GAP43"
"ECEL1",1.19772312046415e-07,0.382655411026776,0.276,0.109,0.00144553203408818,"0","ECEL1"
"DPP6",1.2582025486562e-07,0.354021724597216,0.313,0.133,0.00151852465597316,"0","DPP6"
"PPP1R1A",1.49597914581048e-07,0.372703904028314,0.282,0.115,0.00180549723107867,"0","PPP1R1A"
"PJA2",1.53978014093598e-07,0.49205489403577,0.712,0.641,0.00185836065209563,"0","PJA2"
"TUBA1A",1.57312122404038e-07,0.493147627497179,0.828,0.728,0.00189860000529434,"0","TUBA1A"
"RNMT",1.77904268668711e-07,0.508597033150267,0.411,0.237,0.00214712661856267,"0","RNMT"
"NAE1",1.80647968320937e-07,0.377709225069534,0.38,0.183,0.00218024032966539,"0","NAE1"
"ALMS1",1.93487848635197e-07,0.287136771450728,0.27,0.104,0.0023352048451782,"0","ALMS1"
"PUM2",2.07380930989827e-07,0.428804512612822,0.46,0.257,0.00250288045611622,"0","PUM2"
"KLHL24",2.24103936467026e-07,0.439588188326064,0.748,0.667,0.00270471040922054,"0","KLHL24"
"PPP1R17",2.28453525423274e-07,0.312608279664542,0.166,0.043,0.0027572055983335,"0","PPP1R17"
