ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0051056,regulation of small GTPase mediated signal transduction,23/296,298/18614,4.74478696730438e-10,1.69056759645055e-06,1.41344706499699e-06,ROBO1/ARHGAP6/RELN/IGF1/NET1/APOE/ARHGAP28/ARHGEF3/ITGAV/ARHGAP10/VAV3/STARD13/FAM13A/GARNL3/NOTCH2/AKAP13/ARHGAP42/PLCE1/PLEKHG1/PSD3/RASGRF2/DENND1A/TRIO,23
GO:0007264,small GTPase mediated signal transduction,28/296,483/18614,4.03409892106488e-09,7.18674722787708e-06,6.00868418242822e-06,ROBO1/PLD1/ARHGAP6/RELN/COL1A2/IGF1/DOCK5/NET1/APOE/ARHGAP28/ARHGEF3/ITGAV/ARHGAP10/VAV3/STARD13/FAM13A/DOCK1/GARNL3/NOTCH2/AKAP13/ARHGAP42/PLCE1/PLEKHG1/PSD3/RASGRF2/DOCK9/DENND1A/TRIO,28
GO:0072001,renal system development,21/296,320/18614,4.75562995058014e-08,5.64810317130568e-05,4.72225710882169e-05,FGFR2/WNT2B/ID3/SMAD3/PDGFD/SERPINF1/FRAS1/KLHL3/WWTR1/YAP1/NFIA/FBN1/NOTCH2/KIF26B/RARB/CTNNB1/BCL2/BICC1/PLCE1/EXT1/DLG1,21
GO:0001822,kidney development,20/296,310/18614,1.32054990217967e-07,0.000117627982536654,9.834621639917e-05,FGFR2/WNT2B/ID3/SMAD3/PDGFD/SERPINF1/FRAS1/KLHL3/WWTR1/YAP1/FBN1/NOTCH2/KIF26B/RARB/CTNNB1/BCL2/BICC1/PLCE1/EXT1/DLG1,20
GO:0072073,kidney epithelium development,13/296,146/18614,6.13429853931887e-07,0.00039399475826226,0.000329410510327547,FGFR2/WNT2B/SMAD3/KLHL3/WWTR1/YAP1/NOTCH2/KIF26B/RARB/CTNNB1/BCL2/EXT1/DLG1,13
GO:0045667,regulation of osteoblast differentiation,13/296,147/18614,6.63476999599653e-07,0.00039399475826226,0.000329410510327547,DDR2/IGFBP5/FGFR2/IGF1/ID3/FBN2/SMAD3/RUNX2/WWTR1/YAP1/CTNNB1/CDK6/PRKD1,13
GO:0050678,regulation of epithelial cell proliferation,22/296,419/18614,1.06423164323684e-06,0.000486457345910796,0.000406716483426903,ROBO1/FGFR2/IGF1/SMAD3/APOE/NEAT1/SERPINF1/FGFR1/MDK/RUNX2/YAP1/LAMB1/B2M/EGFR/NOTCH2/STK3/MCC/CTNNB1/PTN/CDK6/PRKD1/DLG1,22
GO:0050673,epithelial cell proliferation,24/296,488/18614,1.09224214630546e-06,0.000486457345910796,0.000406716483426903,IGFBP5/ROBO1/FGFR2/IGF1/SMAD3/APOE/NEAT1/SERPINF1/FGFR1/MDK/RUNX2/YAP1/LAMB1/B2M/EGFR/NOTCH2/STK3/MCC/CTNNB1/PTN/CDK6/PRKD1/DACH1/DLG1,24
GO:0043473,pigmentation,11/296,112/18614,1.72580544037446e-06,0.000683227198228243,0.000571231508334469,MITF/LRMDA/TYR/DCT/BACE2/PMEL/TYRP1/APOE/BCL2/SHROOM3/CD63,11
GO:0010975,regulation of neuron projection development,22/296,452/18614,3.67001975281116e-06,0.00130762803792662,0.00109327956846901,DDR2/ROBO1/RELN/APOE/ROR1/PDLIM5/SERPINF1/EFNA5/PTPRG/IL1RAPL1/MDK/LRRC7/B2M/UST/STK24/PTN/NR2F1/ADGRB3/VIM/PRKD1/ULK4/GOLGA4,22
GO:0016049,cell growth,23/296,495/18614,4.74838088665265e-06,0.00139483277383951,0.00116618956525867,IGFBP5/IGFBP7/GJA1/SGK1/IGF1/NET1/SLIT3/SMAD3/PRKG1/APOE/WFDC1/PDLIM5/EFNA5/SLC23A2/YAP1/EGFR/AKAP13/CTNNB1/BCL2/PLCE1/FOXP1/GOLGA4/EXT1,23
GO:0016055,Wnt signaling pathway,22/296,461/18614,5.03110532807436e-06,0.00139483277383951,0.00116618956525867,WLS/ATP6V1C2/RBMS3/MITF/FGFR2/WNT2B/SMAD3/APOE/ROR1/MDK/WWTR1/YAP1/EGFR/ANKRD6/STK3/MCC/CTNNB1/ZNRF3/BICC1/WWOX/PRICKLE2/EXT1,22
GO:0198738,cell-cell signaling by wnt,22/296,463/18614,5.38992814442381e-06,0.00139483277383951,0.00116618956525867,WLS/ATP6V1C2/RBMS3/MITF/FGFR2/WNT2B/SMAD3/APOE/ROR1/MDK/WWTR1/YAP1/EGFR/ANKRD6/STK3/MCC/CTNNB1/ZNRF3/BICC1/WWOX/PRICKLE2/EXT1,22
GO:0001503,ossification,21/296,429/18614,5.61857375440198e-06,0.00139483277383951,0.00116618956525867,DDR2/IGFBP5/FGFR2/COL1A2/IGF1/ID3/FBN2/SMAD3/MDK/RUNX2/WWTR1/YAP1/EGFR/CTNNB1/BCL2/PTN/CDK6/WWOX/ANO6/PRKD1/EXT1,21
GO:0072006,nephron development,12/296,152/18614,5.87215593813994e-06,0.00139483277383951,0.00116618956525867,WNT2B/PDGFD/KLHL3/WWTR1/YAP1/NOTCH2/KIF26B/CTNNB1/BCL2/PLCE1/EXT1/DLG1,12
GO:0035265,organ growth,13/296,180/18614,6.41154276108755e-06,0.00142777042860968,0.0011937280272288,DDR2/BNC2/FGFR2/IGF1/PDLIM5/YAP1/AKAP13/STK3/RARB/BCL2/FOXP1/WWC2/EXT1,13
GO:0014911,positive regulation of smooth muscle cell migration,7/296,46/18614,7.53692900399772e-06,0.00157965164948493,0.00132071263661384,DDR2/IGFBP5/IGF1/DOCK5/PDGFD/MDK/BCL2,7
GO:0048066,developmental pigmentation,7/296,48/18614,1.00899845693215e-05,0.00192391713400113,0.00160854557490678,MITF/LRMDA/TYR/DCT/TYRP1/BCL2/CD63,7
GO:0014812,muscle cell migration,10/296,110/18614,1.02594514583277e-05,0.00192391713400113,0.00160854557490678,DDR2/IGFBP5/IGF1/DOCK5/NET1/PRKG1/PDGFD/MDK/PARVA/BCL2,10
GO:0060070,canonical Wnt signaling pathway,17/296,313/18614,1.17899564799245e-05,0.00203996483921994,0.00170557055556152,WLS/RBMS3/FGFR2/WNT2B/SMAD3/APOE/MDK/WWTR1/YAP1/EGFR/ANKRD6/STK3/MCC/CTNNB1/ZNRF3/BICC1/EXT1,17
GO:0051057,positive regulation of small GTPase mediated signal transduction,8/296,68/18614,1.20233684040468e-05,0.00203996483921994,0.00170557055556152,ROBO1/RELN/IGF1/NET1/ARHGEF3/ITGAV/NOTCH2/AKAP13,8
GO:0001654,eye development,19/296,385/18614,1.4097001952967e-05,0.00228307354356462,0.00190882849410989,MITF/WNT2B/FBN2/SMAD3/PBX3/SERPINF1/MEIS2/MAN2A1/EGFR/FBN1/NOTCH2/RARB/CTNNB1/SDK1/BCL2/VIM/ADAMTS18/TMEM135/DLG1,19
GO:0150063,visual system development,19/296,389/18614,1.62807686759325e-05,0.0024364811809676,0.00203708930739569,MITF/WNT2B/FBN2/SMAD3/PBX3/SERPINF1/MEIS2/MAN2A1/EGFR/FBN1/NOTCH2/RARB/CTNNB1/SDK1/BCL2/VIM/ADAMTS18/TMEM135/DLG1,19
GO:0072009,nephron epithelium development,10/296,116/18614,1.64118855860854e-05,0.0024364811809676,0.00203708930739569,WNT2B/KLHL3/WWTR1/YAP1/NOTCH2/KIF26B/CTNNB1/BCL2/EXT1/DLG1,10
GO:0060537,muscle tissue development,20/296,426/18614,1.72743908485933e-05,0.00246194618374152,0.00205838004637975,IGFBP5/PPARGC1A/SGCD/GJA1/FGFR2/IGF1/SMAD3/PGM5/PDLIM5/YAP1/NOTCH2/AKAP13/RARB/CTNNB1/BCL2/EYA2/GPCPD1/FOXP1/SVIL/DLG1,20
GO:0060828,regulation of canonical Wnt signaling pathway,15/296,260/18614,1.91348013340727e-05,0.00262220373666543,0.0021923679261306,WLS/RBMS3/FGFR2/SMAD3/APOE/MDK/WWTR1/YAP1/EGFR/ANKRD6/STK3/MCC/CTNNB1/ZNRF3/BICC1,15
GO:0048880,sensory system development,19/296,395/18614,2.01275040485447e-05,0.00263840088560726,0.00220591001263529,MITF/WNT2B/FBN2/SMAD3/PBX3/SERPINF1/MEIS2/MAN2A1/EGFR/FBN1/NOTCH2/RARB/CTNNB1/SDK1/BCL2/VIM/ADAMTS18/TMEM135/DLG1,19
GO:2001044,regulation of integrin-mediated signaling pathway,5/296,22/18614,2.07339951717663e-05,0.00263840088560726,0.00220591001263529,LAMB1/LAMA2/PRKD1/CTNNA1/CD63,5
